DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
000AF60B,HDA01 - 150W,5C-CF-7F-0A-F6-0B,L343,-24.245000,-50.747815,Klabin,HDA-150
0006E652,HDA01 - 150W,5C-CF-7F-06-E6-52,L301,-24.245005,-50.747815,Klabin,HDA-150
0006E628,HDA01 - 150W,5C-CF-7F-06-E6-28,L341,-24.245010,-50.747815,Klabin,HDA-150
0006E5A0,HDA01 - 150W,5C-CF-7F-06-E5-A0,L444,-24.245015,-50.747815,Klabin,HDA-150
0006E778,HDA01 - 150W,5C-CF-7F-06-E7-78,L441,-24.245020,-50.747820,Klabin,HDA-150
0006E3EB,HDA01 - 150W,5C-CF-7F-06-E3-EB,L337,-24.245025,-50.747820,Klabin,HDA-150
0006E763,HDA01 - 150W,5C-CF-7F-06-E7-63,L321,-24.245030,-50.747820,Klabin,HDA-150
000AF43A,HDA01 - 150W,5C-CF-7F-0A-F4-3A,L454,-24.245035,-50.747820,Klabin,HDA-150
0006E416,HDA01 - 150W,5C-CF-7F-06-E4-16,L412,-24.245040,-50.747820,Klabin,HDA-150
000AF6B7,HDA01 - 150W,5C-CF-7F-0A-F6-B7,L356,-24.245045,-50.747820,Klabin,HDA-150
000AF524,HDA01 - 150W,5C-CF-7F-0A-F5-24,L433,-24.245050,-50.747820,Klabin,HDA-150
000AF6AA,HDA01 - 150W,5C-CF-7F-0A-F6-AA,L327,-24.245055,-50.747820,Klabin,HDA-150
0006E508,HDA01 - 150W,5C-CF-7F-06-E5-08,L335,-24.245060,-50.747820,Klabin,HDA-150
0006E49F,HDA01 - 150W,5C-CF-7F-06-E4-9F,L334,-24.245065,-50.747820,Klabin,HDA-150
000AF593,HDA01 - 150W,5C-CF-7F-0A-F5-93,L330,-24.245070,-50.747825,Klabin,HDA-150
0006E5B2,HDA01 - 150W,5C-CF-7F-06-E5-B2,L470,-24.245075,-50.747825,Klabin,HDA-150
000AF4D0,HDA01 - 150W,5C-CF-7F-0A-F4-D0,L388,-24.245080,-50.747825,Klabin,HDA-150
000AF5E2,HDA01 - 150W,5C-CF-7F-0A-F5-E2,L342,-24.245085,-50.747825,Klabin,HDA-150
000AF46A,HDA01 - 150W,5C-CF-7F-0A-F4-6A,L320,-24.245090,-50.747825,Klabin,HDA-150
0006E4AD,HDA01 - 150W,5C-CF-7F-06-E4-AD,L232,-24.245095,-50.747825,Klabin,HDA-150
0006E5E2,HDA01 - 150W,5C-CF-7F-06-E5-E2,L246,-24.245100,-50.747825,Klabin,HDA-150
0006E5D4,HDA01 - 150W,5C-CF-7F-06-E5-D4,L271,-24.245105,-50.747825,Klabin,HDA-150
000AF567,HDA01 - 150W,5C-CF-7F-0A-F5-67,L269,-24.245110,-50.747825,Klabin,HDA-150
0006E67A,HDA01 - 150W,5C-CF-7F-06-E6-7A,L405,-24.245115,-50.747825,Klabin,HDA-150
0006E6E6,HDA01 - 150W,5C-CF-7F-06-E6-E6,L278,-24.245120,-50.747830,Klabin,HDA-150
000AF67A,HDA01 - 150W,5C-CF-7F-0A-F6-7A,L389,-24.245125,-50.747830,Klabin,HDA-150
